px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.3153	23.989	3.13478	0.143785	-0.0817651	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.617009
66.2068	23.9851	2.55604	0.118227	-0.146651	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.70996
68.2727	24.353	2.33341	0.166848	-0.0259428	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.190357
68.3531	24.416	2.55549	0.209273	0.0109488	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	2.17417
70.8171	24.8818	2.74894	0.205062	0.00184414	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.104499
70.7963	24.818	2.42513	0.15168	-0.0495415	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.92658
72.8982	24.7229	2.32089	-0.120946	-0.187752	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.164922
72.9241	24.8049	2.35058	-0.0690994	-0.156496	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	1.38637
74.999	25.24	2.21073	0.287092	0.1589	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.722697
74.9905	25.2131	2.12974	0.270214	0.147463	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.165085
77.114	24.9569	2.16804	-0.304108	-0.292688	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.22858
77.1077	25.0369	2.06114	-0.280676	-0.310601	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	1.4467
79.0876	25.0106	2.04832	0.0287416	0.0744815	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.3181
79.0921	24.9992	1.96273	0.00971828	0.0476091	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.188936
80.8108	24.8735	1.92266	-0.0460796	-0.0145244	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.0337351
80.8602	24.8595	1.76852	-0.0914672	-0.0752223	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.28532
82.608	24.6367	1.99434	-0.116367	-0.0441298	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.125457
82.5676	24.6719	1.75784	-0.131114	-0.0948053	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.737572
84.1664	24.5423	1.8131	-0.0415678	0.0142297	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.104676
84.1827	24.4886	1.74809	-0.0980839	-0.0352465	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.725893
85.6453	23.8239	1.71541	-0.506195	-0.253838	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.341205
85.7132	23.8078	1.83446	-0.493512	-0.229501	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	1.07598
86.9543	23.501	1.25788	-0.2911	0.0193993	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.8933
87.0768	23.499	1.37483	-0.252316	0.0380346	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	4.0099
88.7833	22.7995	2.15889	-0.424053	-0.0845265	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	1.20915
88.6903	22.8175	1.89281	-0.536275	-0.231213	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.8614
89.5378	22.2833	0.934636	-0.61622	-0.158156	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	1.60134
89.6014	22.3251	1.08655	-0.523546	-0.0607254	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	1.13489
90.5045	21.6716	1.27382	-0.606806	-0.0733471	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0616307
90.5709	21.7612	1.33007	-0.44688	0.0381474	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	2.81171
91.7104	21.1179	1.48715	-0.436941	0.0237829	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0433705
91.7441	21.1932	1.34159	-0.442333	-0.0486479	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	3.06657
92.8504	20.9357	1.259	-0.146129	0.147898	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.326083
92.9097	20.9627	1.13668	-0.132028	0.123332	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.55976
93.5065	20.263	0.668709	-0.783482	-0.31072	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	2.06929
93.5792	20.334	0.989815	-0.565612	-0.10655	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.98216
95.2351	19.6464	2.23376	-0.0689938	0.235404	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	4.12472
95.014	19.6935	1.45831	-0.327939	-0.0217956	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	8.9632
95.5465	19.6824	0.596836	-0.143527	0.0855055	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	1.57161
95.5723	19.6598	0.794331	-0.147209	0.0943877	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.298271
96.2692	19.2049	0.866315	-0.642775	-0.231101	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.805233
96.3399	19.1538	1.06328	-0.642703	-0.194281	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	1.99152
97.4795	18.7118	1.48439	-0.189502	0.148102	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.41429
97.453	18.6114	1.2971	-0.360012	0.0103496	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	3.37129
98.2276	18.3659	0.940268	-0.235811	0.0698987	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.259575
98.2561	18.3251	0.9283	-0.275903	0.0392886	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.750459
99.0464	17.4128	1.15408	-1.14559	-0.453483	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	1.77256
99.0673	17.4527	1.26843	-0.752241	-0.047077	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.96789
99.9785	16.9629	1.09433	-0.43407	0.154192	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.540738
100.054	16.9614	1.09712	-0.400105	0.154507	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.99953
101.182	16.5362	1.43618	-0.20111	0.178707	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.244137
101.152	16.5137	1.22147	-0.30467	0.0778525	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.51871
102.367	16.3862	1.43797	0.0746624	0.241608	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.330872
102.293	16.2886	1.16359	-0.0685487	0.155339	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	3.68169
103.026	15.4108	0.876203	-1.01452	-0.444322	103.003	15.353	103.119	15.4967	1.11708	-0.508169	2.65512
103.009	15.4179	1.22242	-0.711772	-0.0811707	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	4.00885
104.078	15.2335	1.09909	-0.0428346	0.337969	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	1.63709
104.055	15.1452	1.22259	-0.13315	0.291343	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	2.21238
105.517	14.4771	1.7722	-0.579758	-0.122543	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	1.55022
105.48	14.3969	1.74742	-0.669792	-0.165418	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	2.2269
106.82	14.0213	1.39545	-0.250029	0.166336	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	1.06678
106.767	14.0509	1.45443	-0.242159	0.192076	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.88101
